State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit,Standard_Crop,Parsed_Date
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-04-2021,11.0,Metric Tonnes,2240.91,Rs./Quintal,Bajra,2021-04-01
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-04-2021,9.0,Metric Tonnes,2427.78,Rs./Quintal,Bajra,2021-04-02
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-04-2021,8.0,Metric Tonnes,2500.0,Rs./Quintal,Bajra,2021-04-03
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-04-2021,4.0,Metric Tonnes,1625.0,Rs./Quintal,Bajra,2021-04-04
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-04-2021,9.0,Metric Tonnes,2355.56,Rs./Quintal,Bajra,2021-04-05
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-04-2021,9.0,Metric Tonnes,2405.56,Rs./Quintal,Bajra,2021-04-06
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),07-04-2021,16.0,Metric Tonnes,2437.5,Rs./Quintal,Bajra,2021-04-07
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),08-04-2021,11.0,Metric Tonnes,2477.27,Rs./Quintal,Bajra,2021-04-08
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),09-04-2021,10.0,Metric Tonnes,2502.5,Rs./Quintal,Bajra,2021-04-09
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),11-04-2021,3.0,Metric Tonnes,1600.0,Rs./Quintal,Bajra,2021-04-11
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),12-04-2021,10.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-04-12
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),13-04-2021,9.0,Metric Tonnes,2700.0,Rs./Quintal,Bajra,2021-04-13
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-04-2021,19.0,Metric Tonnes,2500.0,Rs./Quintal,Bajra,2021-04-14
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),15-04-2021,14.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-04-15
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-04-2021,14.0,Metric Tonnes,2503.57,Rs./Quintal,Bajra,2021-04-16
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),19-04-2021,13.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-04-19
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),20-04-2021,13.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-04-20
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),21-04-2021,19.0,Metric Tonnes,2473.68,Rs./Quintal,Bajra,2021-04-21
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),22-04-2021,12.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-04-22
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),23-04-2021,13.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-04-23
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-04-2021,9.0,Metric Tonnes,2175.0,Rs./Quintal,Bajra,2021-04-24
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),26-04-2021,13.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-04-26
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-04-2021,13.0,Metric Tonnes,2515.38,Rs./Quintal,Bajra,2021-04-27
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-04-2021,22.0,Metric Tonnes,2426.14,Rs./Quintal,Bajra,2021-04-28
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),29-04-2021,14.0,Metric Tonnes,2371.43,Rs./Quintal,Bajra,2021-04-29
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),30-04-2021,14.0,Metric Tonnes,2482.14,Rs./Quintal,Bajra,2021-04-30
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-05-2021,1.0,Metric Tonnes,1600.0,Rs./Quintal,Bajra,2021-05-02
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-05-2021,13.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-05-03
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-05-2021,15.0,Metric Tonnes,2410.0,Rs./Quintal,Bajra,2021-05-04
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-05-2021,17.0,Metric Tonnes,2467.65,Rs./Quintal,Bajra,2021-05-05
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-05-2021,13.0,Metric Tonnes,2500.0,Rs./Quintal,Bajra,2021-05-06
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),07-05-2021,14.0,Metric Tonnes,2410.71,Rs./Quintal,Bajra,2021-05-07
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),10-05-2021,14.0,Metric Tonnes,2467.86,Rs./Quintal,Bajra,2021-05-10
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),11-05-2021,15.0,Metric Tonnes,2466.67,Rs./Quintal,Bajra,2021-05-11
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),12-05-2021,17.0,Metric Tonnes,2418.82,Rs./Quintal,Bajra,2021-05-12
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),13-05-2021,1.0,Metric Tonnes,1400.0,Rs./Quintal,Bajra,2021-05-13
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-05-2021,14.0,Metric Tonnes,2646.43,Rs./Quintal,Bajra,2021-05-14
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-05-2021,1.0,Metric Tonnes,1500.0,Rs./Quintal,Bajra,2021-05-16
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),17-05-2021,13.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-05-17
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),18-05-2021,15.0,Metric Tonnes,2560.0,Rs./Quintal,Bajra,2021-05-18
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),19-05-2021,13.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-05-19
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),20-05-2021,14.0,Metric Tonnes,2575.0,Rs./Quintal,Bajra,2021-05-20
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),21-05-2021,14.0,Metric Tonnes,2514.29,Rs./Quintal,Bajra,2021-05-21
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-05-2021,13.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-05-24
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),25-05-2021,13.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-05-25
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),26-05-2021,13.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-05-26
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-05-2021,17.0,Metric Tonnes,2377.29,Rs./Quintal,Bajra,2021-05-27
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-05-2021,13.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-05-28
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),30-05-2021,1.0,Metric Tonnes,1600.0,Rs./Quintal,Bajra,2021-05-30
