State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Cereals,Maize,01-02-2021,36.0,Metric Tonnes,1380.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,01-02-2021,74.0,Metric Tonnes,1959.32,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-02-2021,3.0,Metric Tonnes,2700.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),02-02-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,02-02-2021,7.0,Metric Tonnes,3807.14,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-02-2021,3.0,Metric Tonnes,2600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),03-02-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,03-02-2021,1.0,Metric Tonnes,1975.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,03-02-2021,6.0,Metric Tonnes,4250.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-02-2021,9.0,Metric Tonnes,1961.11,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),04-02-2021,16.0,Metric Tonnes,4153.13,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,04-02-2021,27.0,Metric Tonnes,1683.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,04-02-2021,79.0,Metric Tonnes,1954.94,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-02-2021,6.0,Metric Tonnes,1900.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),05-02-2021,13.0,Metric Tonnes,4650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,05-02-2021,7.0,Metric Tonnes,3707.14,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-02-2021,4.0,Metric Tonnes,2600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),06-02-2021,14.0,Metric Tonnes,4550.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,06-02-2021,1.0,Metric Tonnes,2050.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,06-02-2021,6.0,Metric Tonnes,4050.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),07-02-2021,5.0,Metric Tonnes,1480.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),07-02-2021,1.0,Metric Tonnes,2000.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,07-02-2021,1.0,Metric Tonnes,1550.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,07-02-2021,16.0,Metric Tonnes,1725.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),08-02-2021,1.0,Metric Tonnes,1800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,08-02-2021,56.0,Metric Tonnes,1775.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,08-02-2021,83.0,Metric Tonnes,1785.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),09-02-2021,6.0,Metric Tonnes,2183.33,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),09-02-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,09-02-2021,7.0,Metric Tonnes,3771.43,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),10-02-2021,4.0,Metric Tonnes,2650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),10-02-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,10-02-2021,6.0,Metric Tonnes,4100.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),11-02-2021,8.0,Metric Tonnes,2018.75,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),11-02-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,11-02-2021,29.0,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,11-02-2021,73.0,Metric Tonnes,1940.75,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),12-02-2021,4.0,Metric Tonnes,2600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),12-02-2021,14.0,Metric Tonnes,4700.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,12-02-2021,5.0,Metric Tonnes,4250.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),13-02-2021,6.0,Metric Tonnes,2133.33,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),13-02-2021,14.0,Metric Tonnes,4700.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,13-02-2021,7.0,Metric Tonnes,3857.14,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-02-2021,5.0,Metric Tonnes,1325.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),14-02-2021,8.0,Metric Tonnes,1900.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,14-02-2021,13.0,Metric Tonnes,1653.08,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),15-02-2021,6.0,Metric Tonnes,2133.33,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),15-02-2021,14.0,Metric Tonnes,4550.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,15-02-2021,22.0,Metric Tonnes,1487.5,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,15-02-2021,47.0,Metric Tonnes,2091.49,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-02-2021,7.0,Metric Tonnes,2221.43,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),16-02-2021,14.0,Metric Tonnes,4750.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,16-02-2021,6.0,Metric Tonnes,4200.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),17-02-2021,5.0,Metric Tonnes,2550.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),17-02-2021,14.0,Metric Tonnes,4750.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,17-02-2021,6.0,Metric Tonnes,4250.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),18-02-2021,8.0,Metric Tonnes,1930.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),18-02-2021,18.0,Metric Tonnes,3977.78,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,18-02-2021,24.0,Metric Tonnes,1412.5,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,18-02-2021,64.0,Metric Tonnes,1972.66,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),19-02-2021,2.0,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),19-02-2021,1.0,Metric Tonnes,1500.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,19-02-2021,1.0,Metric Tonnes,1450.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),20-02-2021,6.0,Metric Tonnes,2200.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),20-02-2021,15.0,Metric Tonnes,4493.33,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,20-02-2021,6.0,Metric Tonnes,4250.0,Rs./Quintal
