State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Vegetables,Onion,18-02-2021,1312.0,Metric Tonnes,2755.14,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,18-02-2021,347.0,Metric Tonnes,909.65,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,19-02-2021,2893.0,Metric Tonnes,3077.13,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,19-02-2021,300.0,Metric Tonnes,822.17,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,20-02-2021,15.0,Metric Tonnes,2433.33,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,20-02-2021,102.0,Metric Tonnes,922.55,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,21-02-2021,2247.0,Metric Tonnes,2917.19,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,21-02-2021,373.0,Metric Tonnes,728.95,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,22-02-2021,1632.0,Metric Tonnes,3084.96,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,22-02-2021,167.0,Metric Tonnes,833.83,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,23-02-2021,2065.0,Metric Tonnes,2878.54,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,23-02-2021,307.0,Metric Tonnes,809.77,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,24-02-2021,1910.0,Metric Tonnes,3016.49,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,24-02-2021,323.0,Metric Tonnes,696.28,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,25-02-2021,3282.0,Metric Tonnes,2655.89,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,25-02-2021,275.0,Metric Tonnes,775.09,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,26-02-2021,1923.0,Metric Tonnes,2244.67,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,26-02-2021,240.0,Metric Tonnes,766.04,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,27-02-2021,43.0,Metric Tonnes,2339.53,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,27-02-2021,121.0,Metric Tonnes,901.24,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,28-02-2021,2244.0,Metric Tonnes,1893.79,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,28-02-2021,246.0,Metric Tonnes,734.76,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,01-03-2021,637.0,Metric Tonnes,1889.82,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,01-03-2021,204.0,Metric Tonnes,814.95,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,02-03-2021,1630.0,Metric Tonnes,2187.75,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,02-03-2021,344.0,Metric Tonnes,761.05,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,03-03-2021,1327.0,Metric Tonnes,2152.07,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,03-03-2021,289.0,Metric Tonnes,797.75,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,04-03-2021,1758.0,Metric Tonnes,1884.62,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,04-03-2021,199.0,Metric Tonnes,710.8,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,05-03-2021,1733.0,Metric Tonnes,1677.32,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,05-03-2021,286.0,Metric Tonnes,843.88,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,06-03-2021,40.0,Metric Tonnes,1593.75,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,06-03-2021,132.0,Metric Tonnes,1129.92,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,07-03-2021,2750.0,Metric Tonnes,1632.98,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,07-03-2021,299.0,Metric Tonnes,690.13,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,08-03-2021,1307.0,Metric Tonnes,1592.65,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,08-03-2021,179.0,Metric Tonnes,770.39,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,09-03-2021,2650.0,Metric Tonnes,1208.17,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,09-03-2021,268.0,Metric Tonnes,657.09,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,10-03-2021,1714.0,Metric Tonnes,1186.32,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,10-03-2021,198.0,Metric Tonnes,689.9,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,11-03-2021,1077.0,Metric Tonnes,1309.17,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,11-03-2021,221.0,Metric Tonnes,652.26,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,12-03-2021,1265.0,Metric Tonnes,1195.09,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,12-03-2021,296.0,Metric Tonnes,669.76,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,13-03-2021,42.0,Metric Tonnes,884.52,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,13-03-2021,130.0,Metric Tonnes,748.85,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,14-03-2021,2506.0,Metric Tonnes,1212.04,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,14-03-2021,329.0,Metric Tonnes,605.78,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,15-03-2021,1007.0,Metric Tonnes,1186.74,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,15-03-2021,183.0,Metric Tonnes,574.04,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,16-03-2021,1800.0,Metric Tonnes,1461.5,Rs./Quintal
